WEIGHT_CONTROL	WEIGHT_DELEGATE	POST	GROUP	CONDITION	Q1	Q2A	Q2B	Q2C	Q2D	Q2E	Q2F	Q2G	Q2H	Q2I	Q3A	Q3B	Q3C	Q3D	Q3E	Q3F	Q3G	Q3H	Q4A	Q4B	Q4C	Q4D	Q4E	Q4F	Q4G	Q4H	Q4I	Q4J	Q5A	Q5B	Q5C	Q5D	Q5E	Q5F	Q5G	Q5H	Q5I	Q5J	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q6G	Q6H	Q6I	Q6J	D1	D2D	D2R	D2I	LIBCONV	Q9_1	Q9_2	PK1	PK1TIME	PK2	PK2TIME	PK3	PK3TIME	PK4	PK4TIME	PK5	PK5TIME	PK6	PK6TIME	PK7	PK7TIME	T2Q1	T2Q2A	T2Q2B	T2Q2C	T2Q2D	T2Q2E	T2Q2F	T2Q2G	T2Q2H	T2Q2I	T2Q3A	T2Q3B	T2Q3C	T2Q3D	T2Q3E	T2Q3F	T2Q3G	T2Q3H	T2Q4A	T2Q4B	T2Q4C	T2Q4D	T2Q4E	T2Q4F	T2Q4G	T2Q4H	T2Q4I	T2Q4J	T2Q5A	T2Q5B	T2Q5C	T2Q5D	T2Q5E	T2Q5F	T2Q5G	T2Q5H	T2Q5I	T2Q5J	T2Q6A	T2Q6B	T2Q6C	T2Q6D	T2Q6E	T2Q6F	T2Q6G	T2Q6H	T2Q6I	T2Q6J	T2D1	T2D2D	T2D2R	T2D2I	T2LIBCONV	T2Q9_1	T2Q9_2	T2PK1	T2PK1TIME	T2PK2	T2PK2TIME	T2PK3	T2PK3TIME	T2PK4	T2PK4TIME	T2PK6	T2PK6TIME	T2PK5	T2PK5TIME	T2PK7	T2PK7TIME	PARTYID3	T2PARTYID3	GENDER	AGE	AGE4	RACETHNICITY	EDUC4
" "	"0.712025789"	1	"1"	1	5	0	10	0	5	5	5	10	10	10	10	10	10	10	5	0	5	5	0	0	10	0	0	10	0	0	0	0	10	0	0	0	10	10	10	0	10	5	10	0	0	10	0	0	10	10	0	0	4	" "	" "	"2"	4	50	50	2	6	1	2	77	3	3	6	1	10	3	11	4	13	"9"	"2"	"10"	"7"	"10"	"10"	"0"	"7"	"10"	"5"	"10"	"10"	"10"	"6"	"4"	"0"	"9"	"6"	"3"	"5"	"10"	"9"	"6"	"6"	"8"	"8"	"0"	"0"	"0"	"0"	"6"	"4"	"10"	"10"	"10"	"0"	"10"	"5"	"9"	"2"	"6"	"6"	"8"	"9"	"5"	"6"	"0"	"8"	"3"	" "	" "	"1"	"3"	"25"	"25"	"2"	" "	"1"	" "	"1"	" "	"4"	" "	"1"	" "	"4"	" "	"2"	" "	3	"3"	1	21	1	1	3
" "	" "	0	" "	0	3	2	10	5	8	6	8	10	10	5	10	10	10	10	5	0	0	4	5	9	7	8	10	0	10	5	5	5	0	3	7	7	10	7	8	8	5	10	5	2	9	9	7	8	10	7	5	5	1	"1"	" "	" "	1	75	20	2	11	1	2	77	5	77	4	77	11	77	5	2	15	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1	" "	1	47	3	4	3
" "	" "	0	" "	1	2	9	5	2	3	3	5	5	7	8	3	3	3	5	6	5	5	5	7	0	3	5	7	5	0	2	5	1	10	5	3	4	8	5	7	4	3	7	5	7	7	7	7	5	4	7	7	5	2	" "	"1"	" "	4	4	70	77	7	77	2	77	3	77	6	1	9	3	6	1	6	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	2	46	3	1	4
" "	" "	0	" "	1	6	2	8	8	9	8	9	8	8	3	10	10	10	7	4	3	2	8	3	2	9	5	7	3	7	7	7	5	3	6	8	7	8	9	9	7	10	8	8	2	5	3	3	9	9	7	5	8	3	" "	" "	"3"	4	42	46	2	3	1	2	77	3	77	8	4	4	77	2	77	1	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3	" "	1	39	2	1	3
" "	" "	0	" "	1	5	3	9	2	5	5	9	7	8	3	9	9	8	98	3	0	0	9	77	8	7	8	7	5	8	8	6	4	4	5	3	5	9	7	5	77	6	8	77	5	6	6	4	77	8	8	5	8	4	" "	" "	"1"	5	84	62	2	31	1	3	77	4	77	7	77	18	77	3	77	2	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3	" "	2	65	4	1	3
" "	" "	0	" "	1	5	5	5	5	5	5	5	5	5	5	7	6	6	6	6	6	7	7	5	5	5	5	5	0	0	5	5	5	5	5	3	3	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	7	2	" "	"1"	" "	6	35	86	2	2	2	1	77	3	77	1	77	2	77	1	77	1	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	1	44	2	2	4
" "	"0.918515451"	1	"24"	1	7	10	8	0	0	0	10	0	0	10	0	0	0	0	10	10	10	0	0	0	10	0	8	10	3	0	0	0	10	10	0	0	77	5	77	0	10	10	77	10	3	77	10	0	0	5	10	7	2	" "	"1"	" "	7	0	81	2	7	1	3	4	7	77	6	4	10	77	4	77	5	"8"	"7"	"5"	"0"	"1"	"0"	"10"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"10"	"10"	"10"	"0"	"0"	"0"	"10"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"10"	"2"	"0"	"0"	"5"	"0"	"1"	"0"	"9"	"7"	"0"	"10"	"5"	"6"	"10"	"0"	"0"	"6"	"10"	"8"	"2"	" "	"1"	" "	"7"	"0"	"75"	"2"	" "	"1"	" "	"4"	" "	"4"	" "	"3"	" "	"4"	" "	"4"	" "	2	"2"	1	34	2	1	4
" "	" "	0	" "	1	3	9	7	5	3	4	8	6	3	8	1	1	3	0	7	7	7	2	77	6	8	4	7	6	3	3	2	0	7	8	5	3	8	8	8	3	7	7	3	4	8	8	7	3	6	8	8	9	2	" "	"1"	" "	6	33	66	2	5	1	3	77	6	77	12	1	13	77	4	2	21	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	1	49	3	1	4
" "	" "	0	" "	1	77	8	77	8	5	2	7	5	77	7	77	77	8	77	77	1	77	7	8	8	9	9	10	77	5	8	8	77	5	5	8	7	8	5	9	9	7	7	77	77	77	77	77	77	77	77	77	77	2	" "	"2"	" "	8	45	87	77	9	77	3	77	3	77	3	77	7	77	2	77	7	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	2	36	2	1	3
" "	" "	0	" "	1	77	10	5	5	2	2	77	2	5	5	77	77	5	77	5	0	77	77	5	9	8	10	10	9	2	9	10	0	77	5	3	8	10	5	7	5	9	10	77	7	77	77	77	77	5	77	10	77	2	" "	"1"	" "	6	6	95	77	4	77	2	77	6	77	8	77	19	77	5	77	9	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	2	41	2	1	3
